c i 1-D powers of two
Problem: oc27000, setup: 15.51 s, time: 3.59 ms, ``mflops'': 552.91
Problem: oc75600, setup: 74.61 s, time: 15.41 ms, ``mflops'': 397.4
Problem: oc165375, setup: 49.28 s, time: 55.37 ms, ``mflops'': 258.87
Problem: oc362880, setup: 695.68 s, time: 113.25 ms, ``mflops'': 295.9
Problem: oc1562500, setup: 7.77 s, time: 735.38 ms, ``mflops'': 218.59
c i 2-D powers of two
Problem: ic4x4, setup: 3.72 ms, time: 462.98 ns, ``mflops'': 691.17
Problem: ic8x4, setup: 3.08 ms, time: 881.23 ns, ``mflops'': 907.83
Problem: ic4x8, setup: 4.24 ms, time: 918.46 ns, ``mflops'': 871.03
Problem: ic8x8, setup: 4.12 ms, time: 1.89 us, ``mflops'': 1016.3
Problem: ic16x16, setup: 7.72 ms, time: 9.81 us, ``mflops'': 1044.1
Problem: ic32x32, setup: 44.11 ms, time: 54.13 us, ``mflops'': 945.82
Problem: ic64x64, setup: 112.88 ms, time: 280.92 us, ``mflops'': 874.83
Problem: ic16x512, setup: 209.16 ms, time: 715.38 us, ``mflops'': 744.34
Problem: ic128x64, setup: 150.37 ms, time: 658.19 us, ``mflops'': 809.01
Problem: ic128x128, setup: 260.87 ms, time: 1.50 ms, ``mflops'': 764.84
Problem: ic256x128, setup: 302.29 ms, time: 3.40 ms, ``mflops'': 722.08
Problem: ic512x64, setup: 421.55 ms, time: 3.46 ms, ``mflops'': 710.96
Problem: ic64x1024, setup: 858.73 ms, time: 7.40 ms, ``mflops'': 708.26
Problem: ic256x256, setup: 779.49 ms, time: 7.37 ms, ``mflops'': 711.24
Problem: ic512x512, setup: 2.89 s, time: 56.17 ms, ``mflops'': 420.06
Problem: ic1024x1024, setup: 12.43 s, time: 265.26 ms, ``mflops'': 395.3
Problem: ic2048x2048, setup: 32.70 s, time: 1.11 s, ``mflops'': 415.99
c o 2-D powers of two
Problem: oc4x4, setup: 3.21 ms, time: 462.98 ns, ``mflops'': 691.17
Problem: oc8x4, setup: 2.23 ms, time: 881.29 ns, ``mflops'': 907.76
Problem: oc4x8, setup: 3.42 ms, time: 918.52 ns, ``mflops'': 870.97
Problem: oc8x8, setup: 3.57 ms, time: 1.89 us, ``mflops'': 1016.3
Problem: oc16x16, setup: 6.59 ms, time: 9.81 us, ``mflops'': 1044.1
Problem: oc32x32, setup: 37.00 ms, time: 54.85 us, ``mflops'': 933.49
Problem: oc64x64, setup: 107.51 ms, time: 293.80 us, ``mflops'': 836.5
Problem: oc16x512, setup: 123.23 ms, time: 679.19 us, ``mflops'': 784
Problem: oc128x64, setup: 124.54 ms, time: 667.75 us, ``mflops'': 797.42
Problem: oc128x128, setup: 243.29 ms, time: 1.50 ms, ``mflops'': 762.93
Problem: oc256x128, setup: 241.54 ms, time: 3.42 ms, ``mflops'': 718.86
Problem: oc512x64, setup: 362.55 ms, time: 3.46 ms, ``mflops'': 710.96
Problem: oc64x1024, setup: 585.17 ms, time: 8.39 ms, ``mflops'': 624.6
Problem: oc256x256, setup: 676.13 ms, time: 8.76 ms, ``mflops'': 598.47
Problem: oc512x512, setup: 2.44 s, time: 57.97 ms, ``mflops'': 407.01
Problem: oc1024x1024, setup: 10.89 s, time: 276.83 ms, ``mflops'': 378.78
Problem: oc2048x2048, setup: 28.63 s, time: 1.19 s, ``mflops'': 389.32
c i 2-D non-powers of two
Problem: ic5x5, setup: 3.72 ms, time: 1.09 us, ``mflops'': 533.5
Problem: ic6x6, setup: 3.91 ms, time: 1.18 us, ``mflops'': 789.09
Problem: ic7x7, setup: 3.94 ms, time: 2.63 us, ``mflops'': 522.92
Problem: ic9x9, setup: 5.55 ms, time: 4.81 us, ``mflops'': 534.19
Problem: ic10x10, setup: 5.98 ms, time: 3.79 us, ``mflops'': 875.76
Problem: ic11x11, setup: 8.67 ms, time: 10.52 us, ``mflops'': 397.81
Problem: ic12x12, setup: 6.35 ms, time: 4.64 us, ``mflops'': 1113.7
Problem: ic13x13, setup: 8.91 ms, time: 11.30 us, ``mflops'': 553.53
Problem: ic14x14, setup: 7.72 ms, time: 9.38 us, ``mflops'': 795.99
Problem: ic15x15, setup: 7.14 ms, time: 11.12 us, ``mflops'': 790.57
Problem: ic25x24, setup: 32.66 ms, time: 57.35 us, ``mflops'': 482.75
Problem: ic48x48, setup: 86.08 ms, time: 182.19 us, ``mflops'': 706.29
Problem: ic49x49, setup: 32.02 ms, time: 320.50 us, ``mflops'': 420.62
Problem: ic60x60, setup: 107.14 ms, time: 335.78 us, ``mflops'': 633.29
Problem: ic72x56, setup: 103.60 ms, time: 364.38 us, ``mflops'': 662.67
Problem: ic75x75, setup: 81.14 ms, time: 635.31 us, ``mflops'': 551.49
Problem: ic80x80, setup: 151.28 ms, time: 585.69 us, ``mflops'': 690.82
Problem: ic84x84, setup: 117.61 ms, time: 719.25 us, ``mflops'': 627.1
Problem: ic96x96, setup: 195.63 ms, time: 854.69 us, ``mflops'': 710.05
Problem: ic100x100, setup: 170.09 ms, time: 1.02 ms, ``mflops'': 649.73
Problem: ic105x105, setup: 115.57 ms, time: 1.46 ms, ``mflops'': 507.84
Problem: ic112x112, setup: 169.69 ms, time: 1.34 ms, ``mflops'': 639.4
Problem: ic120x120, setup: 265.72 ms, time: 1.40 ms, ``mflops'': 712.2
Problem: ic144x144, setup: 335.16 ms, time: 1.99 ms, ``mflops'': 747.91
Problem: ic180x180, setup: 476.13 ms, time: 3.71 ms, ``mflops'': 654.5
Problem: ic240x240, setup: 778.85 ms, time: 6.33 ms, ``mflops'': 719.04
Problem: ic360x360, setup: 1.43 s, time: 22.62 ms, ``mflops'': 486.56
Problem: ic1000x1000, setup: 10.70 s, time: 249.08 ms, ``mflops'': 400.1
Problem: ic1050x1050, setup: 11.84 s, time: 322.19 ms, ``mflops'': 343.43
Problem: ic1458x1458, setup: 24.11 s, time: 738.25 ms, ``mflops'': 302.63
Problem: ic1960x1960, setup: 25.56 s, time: 1.20 s, ``mflops'': 348.69
c o 2-D non-powers of two
Problem: oc5x5, setup: 3.11 ms, time: 1.09 us, ``mflops'': 532.6
Problem: oc6x6, setup: 3.39 ms, time: 1.18 us, ``mflops'': 789.09
Problem: oc7x7, setup: 3.33 ms, time: 2.64 us, ``mflops'': 521.47
Problem: oc9x9, setup: 4.64 ms, time: 4.81 us, ``mflops'': 534.19
Problem: oc10x10, setup: 4.88 ms, time: 3.79 us, ``mflops'': 875.76
Problem: oc11x11, setup: 6.96 ms, time: 10.52 us, ``mflops'': 397.81
Problem: oc12x12, setup: 5.28 ms, time: 4.64 us, ``mflops'': 1113.7
Problem: oc13x13, setup: 7.17 ms, time: 11.30 us, ``mflops'': 553.53
Problem: oc14x14, setup: 6.35 ms, time: 9.38 us, ``mflops'': 795.99
Problem: oc15x15, setup: 6.04 ms, time: 11.12 us, ``mflops'': 790.57
Problem: oc25x24, setup: 21.28 ms, time: 53.42 us, ``mflops'': 518.3
Problem: oc48x48, setup: 84.43 ms, time: 177.44 us, ``mflops'': 725.2
Problem: oc49x49, setup: 25.88 ms, time: 317.62 us, ``mflops'': 424.43
Problem: oc60x60, setup: 112.76 ms, time: 327.19 us, ``mflops'': 649.93
Problem: oc72x56, setup: 88.86 ms, time: 358.66 us, ``mflops'': 673.24
Problem: oc75x75, setup: 69.93 ms, time: 622.91 us, ``mflops'': 562.48
Problem: oc80x80, setup: 143.35 ms, time: 565.66 us, ``mflops'': 715.28
Problem: oc84x84, setup: 115.54 ms, time: 703.94 us, ``mflops'': 640.74
Problem: oc96x96, setup: 192.52 ms, time: 824.19 us, ``mflops'': 736.33
Problem: oc100x100, setup: 163.67 ms, time: 992.06 us, ``mflops'': 669.7
Problem: oc105x105, setup: 105.10 ms, time: 1.42 ms, ``mflops'': 520.11
Problem: oc112x112, setup: 155.43 ms, time: 1.32 ms, ``mflops'': 648.69
Problem: oc120x120, setup: 283.12 ms, time: 1.37 ms, ``mflops'': 728.11
Problem: oc144x144, setup: 334.40 ms, time: 1.92 ms, ``mflops'': 774.65
Problem: oc180x180, setup: 466.97 ms, time: 3.62 ms, ``mflops'': 671.1
Problem: oc240x240, setup: 765.29 ms, time: 6.62 ms, ``mflops'': 687.56
Problem: oc360x360, setup: 1.18 s, time: 26.31 ms, ``mflops'': 418.25
Problem: oc1000x1000, setup: 7.37 s, time: 257.75 ms, ``mflops'': 386.64
Problem: oc1050x1050, setup: 8.28 s, time: 325.40 ms, ``mflops'': 340.04
Problem: oc1458x1458, setup: 15.57 s, time: 767.67 ms, ``mflops'': 291.03
Problem: oc1960x1960, setup: 15.05 s, time: 1.24 s, ``mflops'': 339.07
c i 3-D powers of two
Problem: ic4x4x4, setup: 7.57 ms, time: 2.61 us, ``mflops'': 736.15
Problem: ic8x8x8, setup: 10.04 ms, time: 22.12 us, ``mflops'': 1041.7
Problem: ic4x8x16, setup: 12.15 ms, time: 22.18 us, ``mflops'': 1038.9
Problem: ic16x16x16, setup: 37.48 ms, time: 250.88 us, ``mflops'': 979.61
Problem: ic32x32x32, setup: 210.59 ms, time: 2.92 ms, ``mflops'': 843.09
Problem: ic64x64x64, setup: 1.92 s, time: 42.80 ms, ``mflops'': 551.29
Problem: ic256x64x32, setup: 2.87 s, time: 129.27 ms, ``mflops'': 385.29
Problem: ic16x1024x64, setup: 6.73 s, time: 228.79 ms, ``mflops'': 458.32
Problem: ic128x128x128, setup: 12.74 s, time: 473.47 ms, ``mflops'': 465.08
c o 3-D powers of two
Problem: oc4x4x4, setup: 7.11 ms, time: 2.60 us, ``mflops'': 738.23
Problem: oc8x8x8, setup: 9.43 ms, time: 22.12 us, ``mflops'': 1041.6
Problem: oc4x8x16, setup: 11.26 ms, time: 22.18 us, ``mflops'': 1038.9
Problem: oc16x16x16, setup: 37.88 ms, time: 267.56 us, ``mflops'': 918.51
Problem: oc32x32x32, setup: 207.60 ms, time: 2.93 ms, ``mflops'': 838.63
Problem: oc64x64x64, setup: 1.93 s, time: 48.75 ms, ``mflops'': 483.97
Problem: oc256x64x32, setup: 2.88 s, time: 138.31 ms, ``mflops'': 360.12
Problem: oc16x1024x64, setup: 7.24 s, time: 253.11 ms, ``mflops'': 414.27
Problem: oc128x128x128, setup: 19.50 s, time: 524.18 ms, ``mflops'': 420.09
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 7.54 ms, time: 7.85 us, ``mflops'': 554.28
Problem: ic6x6x6, setup: 8.30 ms, time: 10.31 us, ``mflops'': 812.07
Problem: ic7x7x7, setup: 9.31 ms, time: 27.19 us, ``mflops'': 531.31
Problem: ic9x9x9, setup: 13.77 ms, time: 64.03 us, ``mflops'': 541.35
Problem: ic10x10x10, setup: 15.17 ms, time: 56.64 us, ``mflops'': 879.8
Problem: ic11x11x11, setup: 24.79 ms, time: 172.17 us, ``mflops'': 401.15
Problem: ic12x12x12, setup: 19.32 ms, time: 83.47 us, ``mflops'': 1113.3
Problem: ic13x13x13, setup: 29.21 ms, time: 219.88 us, ``mflops'': 554.62
Problem: ic14x14x14, setup: 30.28 ms, time: 198.41 us, ``mflops'': 789.85
Problem: ic15x15x15, setup: 32.23 ms, time: 254.22 us, ``mflops'': 778.02
Problem: ic24x25x28, setup: 108.88 ms, time: 2.54 ms, ``mflops'': 463.96
Problem: ic48x48x48, setup: 394.78 ms, time: 15.05 ms, ``mflops'': 615.64
Problem: ic49x49x49, setup: 464.87 ms, time: 25.88 ms, ``mflops'': 382.79
Problem: ic60x60x60, setup: 789.53 ms, time: 39.65 ms, ``mflops'': 482.66
Problem: ic72x60x56, setup: 742.77 ms, time: 53.69 ms, ``mflops'': 402.89
Problem: ic75x75x75, setup: 1.16 s, time: 110.99 ms, ``mflops'': 355.14
Problem: ic80x80x80, setup: 1.52 s, time: 114.74 ms, ``mflops'': 423.14
Problem: ic84x84x84, setup: 1.63 s, time: 151.07 ms, ``mflops'': 376.2
Problem: ic96x96x96, setup: 2.73 s, time: 203.39 ms, ``mflops'': 429.67
Problem: ic100x100x100, setup: 2.82 s, time: 254.33 ms, ``mflops'': 391.84
Problem: ic105x105x105, setup: 3.48 s, time: 347.65 ms, ``mflops'': 335.36
Problem: ic112x112x112, setup: 4.15 s, time: 344.23 ms, ``mflops'': 416.75
Problem: ic120x120x120, setup: 5.97 s, time: 393.71 ms, ``mflops'': 454.71
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 6.96 ms, time: 7.87 us, ``mflops'': 553.22
Problem: oc6x6x6, setup: 7.78 ms, time: 10.31 us, ``mflops'': 811.99
Problem: oc7x7x7, setup: 8.79 ms, time: 27.19 us, ``mflops'': 531.31
Problem: oc9x9x9, setup: 12.76 ms, time: 64.03 us, ``mflops'': 541.35
Problem: oc10x10x10, setup: 14.19 ms, time: 56.64 us, ``mflops'': 879.8
Problem: oc11x11x11, setup: 23.02 ms, time: 172.67 us, ``mflops'': 399.99
Problem: oc12x12x12, setup: 18.01 ms, time: 85.13 us, ``mflops'': 1091.5
Problem: oc13x13x13, setup: 27.29 ms, time: 221.78 us, ``mflops'': 549.86
Problem: oc14x14x14, setup: 29.88 ms, time: 205.09 us, ``mflops'': 764.09
Problem: oc15x15x15, setup: 31.20 ms, time: 261.38 us, ``mflops'': 756.71
Problem: oc24x25x28, setup: 101.62 ms, time: 2.46 ms, ``mflops'': 479.82
Problem: oc48x48x48, setup: 395.45 ms, time: 18.80 ms, ``mflops'': 492.7
Problem: oc49x49x49, setup: 462.39 ms, time: 31.07 ms, ``mflops'': 318.86
Problem: oc60x60x60, setup: 793.59 ms, time: 43.53 ms, ``mflops'': 439.67
Problem: oc72x60x56, setup: 730.34 ms, time: 57.36 ms, ``mflops'': 377.16
Problem: oc75x75x75, setup: 1.16 s, time: 115.02 ms, ``mflops'': 342.7
Problem: oc80x80x80, setup: 1.53 s, time: 118.04 ms, ``mflops'': 411.32
Problem: oc84x84x84, setup: 1.63 s, time: 154.40 ms, ``mflops'': 368.09
Problem: oc96x96x96, setup: 2.84 s, time: 213.22 ms, ``mflops'': 409.86
Problem: oc100x100x100, setup: 2.79 s, time: 239.84 ms, ``mflops'': 415.53
Problem: oc105x105x105, setup: 3.45 s, time: 355.62 ms, ``mflops'': 327.85
Problem: oc112x112x112, setup: 4.15 s, time: 350.40 ms, ``mflops'': 409.41
Problem: oc120x120x120, setup: 6.10 s, time: 401.80 ms, ``mflops'': 445.56
r i 1-D powers of two
Problem: ir2, setup: 611.00 us, time: 82.68 ns, ``mflops'': 60.474
Problem: ir4, setup: 550.00 us, time: 105.96 ns, ``mflops'': 188.76
Problem: ir8, setup: 550.00 us, time: 155.56 ns, ``mflops'': 385.69
Problem: ir16, setup: 611.00 us, time: 261.29 ns, ``mflops'': 612.34
Problem: ir32, setup: 11.93 ms, time: 625.98 ns, ``mflops'': 639
Problem: ir64, setup: 29.40 ms, time: 1.61 us, ``mflops'': 596.41
Problem: ir128, setup: 56.38 ms, time: 3.41 us, ``mflops'': 657.71
Problem: ir256, setup: 117.55 ms, time: 8.26 us, ``mflops'': 620.06
Problem: ir512, setup: 197.59 ms, time: 17.56 us, ``mflops'': 656.13
Problem: ir1024, setup: 366.00 ms, time: 37.74 us, ``mflops'': 678.36
Problem: ir2048, setup: 697.77 ms, time: 80.60 us, ``mflops'': 698.75
Problem: ir4096, setup: 1.33 s, time: 189.83 us, ``mflops'': 647.32
Problem: ir8192, setup: 2.78 s, time: 437.84 us, ``mflops'': 608.07
Problem: ir16384, setup: 5.69 s, time: 952.00 us, ``mflops'': 602.35
Problem: ir32768, setup: 11.67 s, time: 2.09 ms, ``mflops'': 587.66
