c i 1-D powers of two
Problem: ic2, setup: 549.00 us, time: 77.55 ns, ``mflops'': 128.94
Problem: ic4, setup: 458.00 us, time: 104.80 ns, ``mflops'': 381.69
Problem: ic8, setup: 488.00 us, time: 164.87 ns, ``mflops'': 727.84
Problem: ic16, setup: 550.00 us, time: 313.02 ns, ``mflops'': 1022.3
Problem: ic32, setup: 7.94 ms, time: 819.70 ns, ``mflops'': 975.96
Problem: ic64, setup: 13.74 ms, time: 1.95 us, ``mflops'': 987.11
Problem: ic128, setup: 26.37 ms, time: 4.32 us, ``mflops'': 1036.5
Problem: ic256, setup: 38.95 ms, time: 14.93 us, ``mflops'': 685.66
Problem: ic512, setup: 58.91 ms, time: 32.97 us, ``mflops'': 698.84
Problem: ic1024, setup: 83.97 ms, time: 74.40 us, ``mflops'': 688.15
Problem: ic2048, setup: 111.29 ms, time: 173.12 us, ``mflops'': 650.63
Problem: ic4096, setup: 148.32 ms, time: 390.12 us, ``mflops'': 629.95
Problem: ic8192, setup: 188.00 ms, time: 818.44 us, ``mflops'': 650.61
Problem: ic16384, setup: 243.83 ms, time: 2.29 ms, ``mflops'': 500.14
Problem: ic32768, setup: 292.92 ms, time: 5.19 ms, ``mflops'': 473.62
Problem: ic65536, setup: 459.64 ms, time: 12.52 ms, ``mflops'': 418.93
Problem: ic131072, setup: 397.68 ms, time: 34.46 ms, ``mflops'': 323.29
Problem: ic262144, setup: 570.54 ms, time: 80.62 ms, ``mflops'': 292.66
Problem: ic524288, setup: 151.04 ms, time: 230.71 ms, ``mflops'': 215.89
Problem: ic1048576, setup: 165.26 ms, time: 453.60 ms, ``mflops'': 231.17
Problem: ic2097152, setup: 194.63 ms, time: 1.01 s, ``mflops'': 217.46
c o 1-D powers of two
Problem: oc2, setup: 122.00 us, time: 77.55 ns, ``mflops'': 128.96
Problem: oc4, setup: 153.00 us, time: 104.80 ns, ``mflops'': 381.69
Problem: oc8, setup: 122.00 us, time: 164.87 ns, ``mflops'': 727.84
Problem: oc16, setup: 152.00 us, time: 312.99 ns, ``mflops'': 1022.4
Problem: oc32, setup: 1.71 ms, time: 817.87 ns, ``mflops'': 978.15
Problem: oc64, setup: 6.04 ms, time: 1.95 us, ``mflops'': 987.11
Problem: oc128, setup: 11.45 ms, time: 4.32 us, ``mflops'': 1036.5
Problem: oc256, setup: 19.87 ms, time: 10.82 us, ``mflops'': 946.37
Problem: oc512, setup: 29.76 ms, time: 23.67 us, ``mflops'': 973.47
