c i 1-D powers of two
Problem: oc27000, setup: 1095.22 s, time: 3.39 ms, ``mflops'': 586.57
Problem: oc75600, setup: 2215.01 s, time: 15.41 ms, ``mflops'': 397.4
Problem: oc165375, setup: 359.83 s, time: 51.40 ms, ``mflops'': 278.9
Problem: oc362880, setup: 3866.59 s, time: 107.54 ms, ``mflops'': 311.62
Problem: oc1562500, setup: 181.70 s, time: 712.04 ms, ``mflops'': 225.75
c i 2-D powers of two
Problem: ic4x4, setup: 7.94 s, time: 470.40 ns, ``mflops'': 680.28
Problem: ic8x4, setup: 6.37 s, time: 842.10 ns, ``mflops'': 950
Problem: ic4x8, setup: 9.30 s, time: 855.10 ns, ``mflops'': 935.56
Problem: ic8x8, setup: 8.04 s, time: 1.63 us, ``mflops'': 1179.1
Problem: ic16x16, setup: 11.94 s, time: 8.21 us, ``mflops'': 1247
Problem: ic32x32, setup: 66.67 s, time: 46.50 us, ``mflops'': 1101
Problem: ic64x64, setup: 99.16 s, time: 244.20 us, ``mflops'': 1006.4
Problem: ic16x512, setup: 193.67 s, time: 635.31 us, ``mflops'': 838.14
Problem: ic128x64, setup: 134.98 s, time: 560.91 us, ``mflops'': 949.32
Problem: ic128x128, setup: 172.97 s, time: 1.23 ms, ``mflops'': 929.12
Problem: ic256x128, setup: 202.13 s, time: 2.95 ms, ``mflops'': 834.36
Problem: ic512x64, setup: 231.20 s, time: 3.12 ms, ``mflops'': 787.38
Problem: ic64x1024, setup: 304.08 s, time: 6.59 ms, ``mflops'': 795.22
Problem: ic256x256, setup: 234.95 s, time: 6.61 ms, ``mflops'': 793.35
Problem: ic512x512, setup: 337.37 s, time: 52.29 ms, ``mflops'': 451.2
Problem: ic1024x1024, setup: 461.96 s, time: 241.97 ms, ``mflops'': 433.35
Problem: ic2048x2048, setup: 592.24 s, time: 1.05 s, ``mflops'': 437.66
c o 2-D powers of two
Problem: oc4x4, setup: 7.28 s, time: 470.43 ns, ``mflops'': 680.23
Problem: oc8x4, setup: 4.95 s, time: 842.10 ns, ``mflops'': 950
Problem: oc4x8, setup: 7.76 s, time: 855.10 ns, ``mflops'': 935.56
Problem: oc8x8, setup: 7.30 s, time: 1.63 us, ``mflops'': 1179.1
Problem: oc16x16, setup: 10.47 s, time: 8.20 us, ``mflops'': 1249.1
Problem: oc32x32, setup: 56.47 s, time: 46.50 us, ``mflops'': 1101.1
Problem: oc64x64, setup: 100.21 s, time: 259.94 us, ``mflops'': 945.46
Problem: oc16x512, setup: 101.40 s, time: 597.12 us, ``mflops'': 891.74
Problem: oc128x64, setup: 120.73 s, time: 566.62 us, ``mflops'': 939.74
Problem: oc128x128, setup: 171.80 s, time: 1.24 ms, ``mflops'': 926.26
Problem: oc256x128, setup: 175.82 s, time: 3.01 ms, ``mflops'': 815.33
Problem: oc512x64, setup: 217.71 s, time: 3.09 ms, ``mflops'': 795.21
Problem: oc64x1024, setup: 192.41 s, time: 7.55 ms, ``mflops'': 693.96
Problem: oc256x256, setup: 244.27 s, time: 7.60 ms, ``mflops'': 689.76
Problem: oc512x512, setup: 304.59 s, time: 55.16 ms, ``mflops'': 427.73
Problem: oc1024x1024, setup: 419.50 s, time: 255.67 ms, ``mflops'': 410.13
Problem: oc2048x2048, setup: 543.74 s, time: 1.11 s, ``mflops'': 415.08
c i 2-D non-powers of two
Problem: ic5x5, setup: 7.01 s, time: 989.26 ns, ``mflops'': 586.79
Problem: ic6x6, setup: 8.30 s, time: 1.07 us, ``mflops'': 873.29
Problem: ic7x7, setup: 6.87 s, time: 2.20 us, ``mflops'': 625.74
Problem: ic9x9, setup: 9.42 s, time: 4.20 us, ``mflops'': 610.92
Problem: ic10x10, setup: 12.37 s, time: 3.46 us, ``mflops'': 960.72
Problem: ic11x11, setup: 12.92 s, time: 8.73 us, ``mflops'': 479.27
Problem: ic12x12, setup: 11.31 s, time: 4.32 us, ``mflops'': 1194.4
Problem: ic13x13, setup: 13.21 s, time: 8.66 us, ``mflops'': 722.21
Problem: ic14x14, setup: 11.36 s, time: 10.52 us, ``mflops'': 709.19
Problem: ic15x15, setup: 9.98 s, time: 8.69 us, ``mflops'': 1011.7
Problem: ic25x24, setup: 52.74 s, time: 54.61 us, ``mflops'': 506.99
Problem: ic48x48, setup: 135.98 s, time: 180.75 us, ``mflops'': 711.91
Problem: ic49x49, setup: 18.49 s, time: 291.41 us, ``mflops'': 462.62
Problem: ic60x60, setup: 155.12 s, time: 314.78 us, ``mflops'': 675.54
Problem: ic72x56, setup: 153.57 s, time: 374.88 us, ``mflops'': 644.11
Problem: ic75x75, setup: 70.73 s, time: 558.00 us, ``mflops'': 627.91
Problem: ic80x80, setup: 212.94 s, time: 558.00 us, ``mflops'': 725.1
Problem: ic84x84, setup: 112.27 s, time: 747.81 us, ``mflops'': 603.15
Problem: ic96x96, setup: 247.98 s, time: 789.81 us, ``mflops'': 768.37
Problem: ic100x100, setup: 172.70 s, time: 950.06 us, ``mflops'': 699.31
Problem: ic105x105, setup: 53.85 s, time: 1.28 ms, ``mflops'': 577.41
Problem: ic112x112, setup: 134.59 s, time: 1.35 ms, ``mflops'': 634
Problem: ic120x120, setup: 311.22 s, time: 1.32 ms, ``mflops'': 755.55
Problem: ic144x144, setup: 351.06 s, time: 2.01 ms, ``mflops'': 739.4
Problem: ic180x180, setup: 390.47 s, time: 3.44 ms, ``mflops'': 705.27
Problem: ic240x240, setup: 507.94 s, time: 6.20 ms, ``mflops'': 734.99
Problem: ic360x360, setup: 651.57 s, time: 21.91 ms, ``mflops'': 502.26
Problem: ic1000x1000, setup: 463.15 s, time: 247.79 ms, ``mflops'': 402.18
Problem: ic1050x1050, setup: 345.04 s, time: 294.72 ms, ``mflops'': 375.44
Problem: ic1458x1458, setup: 240.76 s, time: 740.42 ms, ``mflops'': 301.74
Problem: ic1960x1960, setup: 370.18 s, time: 1.19 s, ``mflops'': 352.2
c o 2-D non-powers of two
Problem: oc5x5, setup: 6.24 s, time: 989.26 ns, ``mflops'': 586.79
Problem: oc6x6, setup: 7.52 s, time: 1.07 us, ``mflops'': 873.24
Problem: oc7x7, setup: 6.15 s, time: 2.20 us, ``mflops'': 625.71
Problem: oc9x9, setup: 8.02 s, time: 4.20 us, ``mflops'': 610.89
Problem: oc10x10, setup: 10.79 s, time: 3.46 us, ``mflops'': 960.72
Problem: oc11x11, setup: 10.50 s, time: 8.73 us, ``mflops'': 479.25
Problem: oc12x12, setup: 9.64 s, time: 4.32 us, ``mflops'': 1194.3
Problem: oc13x13, setup: 10.81 s, time: 8.64 us, ``mflops'': 723.43
Problem: oc14x14, setup: 9.75 s, time: 10.52 us, ``mflops'': 709.19
Problem: oc15x15, setup: 8.45 s, time: 8.69 us, ``mflops'': 1011.6
Problem: oc25x24, setup: 32.42 s, time: 51.27 us, ``mflops'': 540.02
Problem: oc48x48, setup: 148.07 s, time: 176.00 us, ``mflops'': 731.12
Problem: oc49x49, setup: 16.43 s, time: 285.69 us, ``mflops'': 471.88
Problem: oc60x60, setup: 187.47 s, time: 312.88 us, ``mflops'': 679.66
Problem: oc72x56, setup: 140.99 s, time: 369.16 us, ``mflops'': 654.09
Problem: oc75x75, setup: 66.27 s, time: 547.53 us, ``mflops'': 639.91
Problem: oc80x80, setup: 219.11 s, time: 548.50 us, ``mflops'': 737.65
Problem: oc84x84, setup: 129.83 s, time: 728.81 us, ``mflops'': 618.87
Problem: oc96x96, setup: 272.74 s, time: 759.25 us, ``mflops'': 799.3
Problem: oc100x100, setup: 189.73 s, time: 915.75 us, ``mflops'': 725.51
Problem: oc105x105, setup: 63.96 s, time: 1.25 ms, ``mflops'': 591.49
Problem: oc112x112, setup: 139.12 s, time: 1.31 ms, ``mflops'': 650.6
Problem: oc120x120, setup: 382.98 s, time: 1.28 ms, ``mflops'': 778.09
Problem: oc144x144, setup: 394.83 s, time: 1.94 ms, ``mflops'': 767.01
Problem: oc180x180, setup: 451.21 s, time: 3.37 ms, ``mflops'': 719.64
Problem: oc240x240, setup: 615.84 s, time: 6.50 ms, ``mflops'': 700.51
Problem: oc360x360, setup: 634.69 s, time: 25.82 ms, ``mflops'': 426.17
Problem: oc1000x1000, setup: 430.05 s, time: 251.62 ms, ``mflops'': 396.07
Problem: oc1050x1050, setup: 363.84 s, time: 304.41 ms, ``mflops'': 363.49
Problem: oc1458x1458, setup: 210.69 s, time: 775.45 ms, ``mflops'': 288.11
Problem: oc1960x1960, setup: 365.37 s, time: 1.20 s, ``mflops'': 350.75
c i 3-D powers of two
Problem: ic4x4x4, setup: 16.44 s, time: 2.61 us, ``mflops'': 736.08
Problem: ic8x8x8, setup: 15.74 s, time: 18.99 us, ``mflops'': 1213.3
Problem: ic4x8x16, setup: 20.98 s, time: 19.55 us, ``mflops'': 1178.2
Problem: ic16x16x16, setup: 19.85 s, time: 213.20 us, ``mflops'': 1152.7
Problem: ic32x32x32, setup: 92.23 s, time: 2.55 ms, ``mflops'': 964.24
Problem: ic64x64x64, setup: 134.83 s, time: 38.92 ms, ``mflops'': 606.19
Problem: ic256x64x32, setup: 245.35 s, time: 122.95 ms, ``mflops'': 405.09
Problem: ic16x1024x64, setup: 307.64 s, time: 211.39 ms, ``mflops'': 496.05
Problem: ic128x128x128, setup: 240.18 s, time: 441.94 ms, ``mflops'': 498.26
c o 3-D powers of two
Problem: oc4x4x4, setup: 15.77 s, time: 2.61 us, ``mflops'': 736.08
Problem: oc8x8x8, setup: 15.00 s, time: 18.99 us, ``mflops'': 1213.4
Problem: oc4x8x16, setup: 19.39 s, time: 19.55 us, ``mflops'': 1178.2
Problem: oc16x16x16, setup: 18.25 s, time: 222.73 us, ``mflops'': 1103.4
Problem: oc32x32x32, setup: 82.14 s, time: 2.56 ms, ``mflops'': 958.5
Problem: oc64x64x64, setup: 135.98 s, time: 44.78 ms, ``mflops'': 526.84
Problem: oc256x64x32, setup: 227.39 s, time: 107.60 ms, ``mflops'': 462.87
Problem: oc16x1024x64, setup: 294.97 s, time: 241.92 ms, ``mflops'': 433.44
Problem: oc128x128x128, setup: 241.39 s, time: 453.31 ms, ``mflops'': 485.76
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 13.98 s, time: 7.18 us, ``mflops'': 606.01
Problem: ic6x6x6, setup: 15.96 s, time: 9.26 us, ``mflops'': 904.86
Problem: ic7x7x7, setup: 13.29 s, time: 22.54 us, ``mflops'': 640.95
Problem: ic9x9x9, setup: 16.38 s, time: 55.92 us, ``mflops'': 619.85
Problem: ic10x10x10, setup: 20.44 s, time: 51.39 us, ``mflops'': 969.54
Problem: ic11x11x11, setup: 19.70 s, time: 143.33 us, ``mflops'': 481.88
Problem: ic12x12x12, setup: 20.25 s, time: 77.03 us, ``mflops'': 1206.4
Problem: ic13x13x13, setup: 20.42 s, time: 167.41 us, ``mflops'': 728.46
Problem: ic14x14x14, setup: 19.29 s, time: 222.73 us, ``mflops'': 703.58
Problem: ic15x15x15, setup: 16.97 s, time: 194.59 us, ``mflops'': 1016.4
Problem: ic24x25x28, setup: 114.07 s, time: 2.45 ms, ``mflops'': 480.58
Problem: ic48x48x48, setup: 188.13 s, time: 15.65 ms, ``mflops'': 591.89
Problem: ic49x49x49, setup: 38.89 s, time: 24.38 ms, ``mflops'': 406.4
Problem: ic60x60x60, setup: 216.20 s, time: 37.97 ms, ``mflops'': 504.09
Problem: ic72x60x56, setup: 293.09 s, time: 52.52 ms, ``mflops'': 411.88
Problem: ic75x75x75, setup: 96.23 s, time: 103.07 ms, ``mflops'': 382.44
Problem: ic80x80x80, setup: 298.99 s, time: 110.71 ms, ``mflops'': 438.56
Problem: ic84x84x84, setup: 161.25 s, time: 151.82 ms, ``mflops'': 374.33
Problem: ic96x96x96, setup: 348.94 s, time: 193.59 ms, ``mflops'': 451.41
Problem: ic100x100x100, setup: 237.16 s, time: 220.22 ms, ``mflops'': 452.54
Problem: ic105x105x105, setup: 79.22 s, time: 320.76 ms, ``mflops'': 363.48
Problem: ic112x112x112, setup: 191.51 s, time: 346.30 ms, ``mflops'': 414.26
Problem: ic120x120x120, setup: 438.43 s, time: 374.08 ms, ``mflops'': 478.58
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 13.18 s, time: 7.20 us, ``mflops'': 604.78
Problem: oc6x6x6, setup: 15.11 s, time: 9.26 us, ``mflops'': 904.91
Problem: oc7x7x7, setup: 12.57 s, time: 22.59 us, ``mflops'': 639.28
Problem: oc9x9x9, setup: 14.88 s, time: 55.92 us, ``mflops'': 619.85
Problem: oc10x10x10, setup: 18.93 s, time: 51.39 us, ``mflops'': 969.61
Problem: oc11x11x11, setup: 17.23 s, time: 143.32 us, ``mflops'': 481.91
Problem: oc12x12x12, setup: 18.46 s, time: 77.62 us, ``mflops'': 1197.1
Problem: oc13x13x13, setup: 17.94 s, time: 171.69 us, ``mflops'': 710.29
Problem: oc14x14x14, setup: 17.76 s, time: 227.02 us, ``mflops'': 690.31
Problem: oc15x15x15, setup: 15.53 s, time: 206.03 us, ``mflops'': 959.98
Problem: oc24x25x28, setup: 104.13 s, time: 2.40 ms, ``mflops'': 492.11
Problem: oc48x48x48, setup: 200.09 s, time: 18.38 ms, ``mflops'': 504.21
Problem: oc49x49x49, setup: 36.97 s, time: 28.54 ms, ``mflops'': 347.2
Problem: oc60x60x60, setup: 249.56 s, time: 42.95 ms, ``mflops'': 445.64
Problem: oc72x60x56, setup: 281.00 s, time: 57.37 ms, ``mflops'': 377.05
Problem: oc75x75x75, setup: 91.84 s, time: 107.21 ms, ``mflops'': 367.65
Problem: oc80x80x80, setup: 305.66 s, time: 115.98 ms, ``mflops'': 418.63
Problem: oc84x84x84, setup: 178.83 s, time: 157.49 ms, ``mflops'': 360.85
Problem: oc96x96x96, setup: 371.56 s, time: 219.98 ms, ``mflops'': 397.27
Problem: oc100x100x100, setup: 254.04 s, time: 224.41 ms, ``mflops'': 444.1
Problem: oc105x105x105, setup: 89.80 s, time: 326.20 ms, ``mflops'': 357.41
Problem: oc112x112x112, setup: 195.96 s, time: 354.50 ms, ``mflops'': 404.68
Problem: oc120x120x120, setup: 508.30 s, time: 388.82 ms, ``mflops'': 460.43
r i 1-D powers of two
Problem: ir2, setup: 860.80 ms, time: 82.67 ns, ``mflops'': 60.48
Problem: ir4, setup: 735.37 ms, time: 106.42 ns, ``mflops'': 187.93
