c i 1-D powers of two
Problem: oc27000, setup: 15.02 s, time: 3.31 ms, ``mflops'': 600.03
Problem: oc75600, setup: 73.88 s, time: 14.87 ms, ``mflops'': 412.07
Problem: oc165375, setup: 47.44 s, time: 51.59 ms, ``mflops'': 277.86
Problem: oc362880, setup: 698.05 s, time: 107.51 ms, ``mflops'': 311.7
Problem: oc1562500, setup: 7.77 s, time: 708.95 ms, ``mflops'': 226.74
c i 2-D powers of two
Problem: ic4x4, setup: 3.75 ms, time: 470.43 ns, ``mflops'': 680.23
Problem: ic8x4, setup: 3.02 ms, time: 842.10 ns, ``mflops'': 950
Problem: ic4x8, setup: 4.27 ms, time: 855.16 ns, ``mflops'': 935.49
Problem: ic8x8, setup: 4.09 ms, time: 1.62 us, ``mflops'': 1181.8
Problem: ic16x16, setup: 7.48 ms, time: 8.20 us, ``mflops'': 1249.1
Problem: ic32x32, setup: 42.28 ms, time: 46.50 us, ``mflops'': 1101
Problem: ic64x64, setup: 110.90 ms, time: 251.83 us, ``mflops'': 975.9
Problem: ic16x512, setup: 199.54 ms, time: 631.50 us, ``mflops'': 843.2
Problem: ic128x64, setup: 142.13 ms, time: 558.97 us, ``mflops'': 952.61
Problem: ic128x128, setup: 239.96 ms, time: 1.23 ms, ``mflops'': 929.12
Problem: ic256x128, setup: 282.30 ms, time: 3.01 ms, ``mflops'': 815.26
Problem: ic512x64, setup: 399.18 ms, time: 3.08 ms, ``mflops'': 797.15
Problem: ic64x1024, setup: 824.12 ms, time: 6.59 ms, ``mflops'': 795.16
Problem: ic256x256, setup: 719.82 ms, time: 6.59 ms, ``mflops'': 795.16
Problem: ic512x512, setup: 2.85 s, time: 52.44 ms, ``mflops'': 449.88
Problem: ic1024x1024, setup: 12.36 s, time: 241.33 ms, ``mflops'': 434.49
Problem: ic2048x2048, setup: 33.40 s, time: 1.05 s, ``mflops'': 438.39
c o 2-D powers of two
Problem: oc4x4, setup: 3.21 ms, time: 470.43 ns, ``mflops'': 680.23
Problem: oc8x4, setup: 2.23 ms, time: 842.10 ns, ``mflops'': 950
Problem: oc4x8, setup: 3.39 ms, time: 853.33 ns, ``mflops'': 937.5
Problem: oc8x8, setup: 3.57 ms, time: 1.62 us, ``mflops'': 1181.8
Problem: oc16x16, setup: 6.35 ms, time: 8.20 us, ``mflops'': 1249.1
Problem: oc32x32, setup: 35.62 ms, time: 46.50 us, ``mflops'': 1101
Problem: oc64x64, setup: 104.79 ms, time: 257.08 us, ``mflops'': 955.97
Problem: oc16x512, setup: 117.31 ms, time: 596.19 us, ``mflops'': 893.14
Problem: oc128x64, setup: 118.01 ms, time: 565.69 us, ``mflops'': 941.3
Problem: oc128x128, setup: 225.16 ms, time: 1.24 ms, ``mflops'': 927.66
Problem: oc256x128, setup: 234.71 ms, time: 2.96 ms, ``mflops'': 829.99
Problem: oc512x64, setup: 349.09 ms, time: 3.19 ms, ``mflops'': 770.47
Problem: oc64x1024, setup: 570.82 ms, time: 7.31 ms, ``mflops'': 717.17
Problem: oc256x256, setup: 641.31 ms, time: 7.71 ms, ``mflops'': 680.23
Problem: oc512x512, setup: 2.41 s, time: 56.23 ms, ``mflops'': 419.59
Problem: oc1024x1024, setup: 10.72 s, time: 263.53 ms, ``mflops'': 397.9
Problem: oc2048x2048, setup: 29.46 s, time: 1.11 s, ``mflops'': 415.02
c i 2-D non-powers of two
Problem: ic5x5, setup: 3.66 ms, time: 989.32 ns, ``mflops'': 586.75
Problem: ic6x6, setup: 3.85 ms, time: 1.06 us, ``mflops'': 874.74
Problem: ic7x7, setup: 3.88 ms, time: 2.20 us, ``mflops'': 625.74
Problem: ic9x9, setup: 5.50 ms, time: 4.20 us, ``mflops'': 610.89
Problem: ic10x10, setup: 5.89 ms, time: 3.46 us, ``mflops'': 960.72
Problem: ic11x11, setup: 8.12 ms, time: 8.73 us, ``mflops'': 479.27
Problem: ic12x12, setup: 6.26 ms, time: 4.32 us, ``mflops'': 1194.4
Problem: ic13x13, setup: 8.55 ms, time: 8.65 us, ``mflops'': 723.39
Problem: ic14x14, setup: 7.48 ms, time: 10.52 us, ``mflops'': 709.19
Problem: ic15x15, setup: 6.81 ms, time: 8.69 us, ``mflops'': 1011.6
Problem: ic25x24, setup: 31.56 ms, time: 54.73 us, ``mflops'': 505.87
Problem: ic48x48, setup: 86.11 ms, time: 182.67 us, ``mflops'': 704.42
Problem: ic49x49, setup: 31.04 ms, time: 294.75 us, ``mflops'': 457.37
Problem: ic60x60, setup: 106.17 ms, time: 318.59 us, ``mflops'': 667.46
Problem: ic72x56, setup: 102.93 ms, time: 378.69 us, ``mflops'': 637.63
Problem: ic75x75, setup: 77.05 ms, time: 558.03 us, ``mflops'': 627.87
Problem: ic80x80, setup: 148.08 ms, time: 557.09 us, ``mflops'': 726.28
Problem: ic84x84, setup: 118.35 ms, time: 747.88 us, ``mflops'': 603.1
