c i 1-D powers of two
Problem: oc27000, setup: 299.23 ms, time: 8.46 ms, ``mflops'': 235.04
Problem: oc75600, setup: 708.46 ms, time: 43.89 ms, ``mflops'': 139.56
Problem: oc165375, setup: 182.29 ms, time: 108.82 ms, ``mflops'': 131.73
Problem: oc362880, setup: 1.59 s, time: 217.76 ms, ``mflops'': 153.89
Problem: oc1562500, setup: 34.00 ms, time: 1.06 s, ``mflops'': 152.11
c i 2-D powers of two
Problem: ic4x4, setup: 1.37 ms, time: 574.74 ns, ``mflops'': 556.78
Problem: ic8x4, setup: 1.07 ms, time: 1.18 us, ``mflops'': 678.39
Problem: ic4x8, setup: 1.50 ms, time: 1.18 us, ``mflops'': 678.36
Problem: ic8x8, setup: 1.40 ms, time: 2.45 us, ``mflops'': 783.14
Problem: ic16x16, setup: 1.86 ms, time: 14.07 us, ``mflops'': 727.82
Problem: ic32x32, setup: 10.16 ms, time: 76.31 us, ``mflops'': 670.96
Problem: ic64x64, setup: 13.73 ms, time: 475.97 us, ``mflops'': 516.34
Problem: ic16x512, setup: 27.59 ms, time: 1.12 ms, ``mflops'': 475.51
Problem: ic128x64, setup: 19.20 ms, time: 1.35 ms, ``mflops'': 395.34
Problem: ic128x128, setup: 24.97 ms, time: 3.14 ms, ``mflops'': 364.78
Problem: ic256x128, setup: 29.73 ms, time: 6.62 ms, ``mflops'': 371.04
Problem: ic512x64, setup: 34.58 ms, time: 6.10 ms, ``mflops'': 402.59
Problem: ic64x1024, setup: 43.53 ms, time: 14.47 ms, ``mflops'': 362.38
Problem: ic256x256, setup: 34.43 ms, time: 20.42 ms, ``mflops'': 256.74
Problem: ic512x512, setup: 52.44 ms, time: 156.95 ms, ``mflops'': 150.32
Problem: ic1024x1024, setup: 66.30 ms, time: 798.36 ms, ``mflops'': 131.34
Problem: ic2048x2048, setup: 88.15 ms, time: 3.74 s, ``mflops'': 123.48
c o 2-D powers of two
Problem: oc4x4, setup: 1.19 ms, time: 574.74 ns, ``mflops'': 556.78
Problem: oc8x4, setup: 793.00 us, time: 1.18 us, ``mflops'': 678.39
Problem: oc4x8, setup: 1.28 ms, time: 1.18 us, ``mflops'': 678.39
Problem: oc8x8, setup: 1.19 ms, time: 2.45 us, ``mflops'': 783.14
Problem: oc16x16, setup: 1.53 ms, time: 14.07 us, ``mflops'': 727.82
Problem: oc32x32, setup: 7.66 ms, time: 78.45 us, ``mflops'': 652.62
Problem: oc64x64, setup: 13.00 ms, time: 485.50 us, ``mflops'': 506.2
Problem: oc16x512, setup: 13.89 ms, time: 1.05 ms, ``mflops'': 505.65
Problem: oc128x64, setup: 17.49 ms, time: 1.35 ms, ``mflops'': 394.25
Problem: oc128x128, setup: 23.20 ms, time: 2.95 ms, ``mflops'': 389.37
Problem: oc256x128, setup: 25.15 ms, time: 7.52 ms, ``mflops'': 326.63
Problem: oc512x64, setup: 32.97 ms, time: 7.52 ms, ``mflops'': 326.63
Problem: oc64x1024, setup: 27.56 ms, time: 19.75 ms, ``mflops'': 265.48
Problem: oc256x256, setup: 30.92 ms, time: 28.66 ms, ``mflops'': 182.92
Problem: oc512x512, setup: 45.45 ms, time: 167.91 ms, ``mflops'': 140.51
Problem: oc1024x1024, setup: 60.56 ms, time: 876.44 ms, ``mflops'': 119.64
Problem: oc2048x2048, setup: 83.27 ms, time: 3.69 s, ``mflops'': 125.16
c i 2-D non-powers of two
Problem: ic5x5, setup: 1.37 ms, time: 1.35 us, ``mflops'': 429.18
Problem: ic6x6, setup: 1.40 ms, time: 1.35 us, ``mflops'': 688.03
Problem: ic7x7, setup: 1.34 ms, time: 4.35 us, ``mflops'': 316.08
Problem: ic9x9, setup: 1.83 ms, time: 5.51 us, ``mflops'': 465.6
Problem: ic10x10, setup: 1.92 ms, time: 5.43 us, ``mflops'': 612.3
Problem: ic11x11, setup: 2.26 ms, time: 16.96 us, ``mflops'': 246.8
Problem: ic12x12, setup: 1.89 ms, time: 7.29 us, ``mflops'': 708.33
Problem: ic13x13, setup: 2.23 ms, time: 16.45 us, ``mflops'': 380.07
Problem: ic14x14, setup: 1.86 ms, time: 18.93 us, ``mflops'': 394.26
Problem: ic15x15, setup: 1.83 ms, time: 16.63 us, ``mflops'': 528.5
Problem: ic25x24, setup: 7.57 ms, time: 72.85 us, ``mflops'': 380.04
Problem: ic48x48, setup: 21.58 ms, time: 318.59 us, ``mflops'': 403.89
Problem: ic49x49, setup: 3.82 ms, time: 558.97 us, ``mflops'': 241.17
Problem: ic60x60, setup: 22.74 ms, time: 588.56 us, ``mflops'': 361.3
Problem: ic72x56, setup: 25.58 ms, time: 694.38 us, ``mflops'': 347.74
Problem: ic75x75, setup: 12.70 ms, time: 1.05 ms, ``mflops'': 332.12
Problem: ic80x80, setup: 30.10 ms, time: 1.06 ms, ``mflops'': 380.09
Problem: ic84x84, setup: 21.09 ms, time: 1.44 ms, ``mflops'': 313.58
Problem: ic96x96, setup: 38.34 ms, time: 1.64 ms, ``mflops'': 369.9
Problem: ic100x100, setup: 25.30 ms, time: 1.88 ms, ``mflops'': 352.48
Problem: ic105x105, setup: 11.05 ms, time: 2.56 ms, ``mflops'': 288.71
Problem: ic112x112, setup: 24.11 ms, time: 2.80 ms, ``mflops'': 304.92
Problem: ic120x120, setup: 46.55 ms, time: 2.63 ms, ``mflops'': 377.81
Problem: ic144x144, setup: 57.35 ms, time: 3.97 ms, ``mflops'': 374.69
Problem: ic180x180, setup: 63.21 ms, time: 6.70 ms, ``mflops'': 362.29
Problem: ic240x240, setup: 77.47 ms, time: 14.83 ms, ``mflops'': 307.02
Problem: ic360x360, setup: 106.77 ms, time: 44.26 ms, ``mflops'': 248.65
Problem: ic1000x1000, setup: 78.63 ms, time: 536.89 ms, ``mflops'': 185.62
Problem: ic1050x1050, setup: 68.59 ms, time: 648.82 ms, ``mflops'': 170.54
Problem: ic1458x1458, setup: 56.16 ms, time: 1.38 s, ``mflops'': 162.37
