c i 1-D powers of two
Problem: oc27000, setup: 31.90 s, time: 5.49 ms, ``mflops'': 361.79
Problem: oc75600, setup: 148.56 s, time: 22.37 ms, ``mflops'': 273.84
Problem: oc165375, setup: 70.14 s, time: 62.78 ms, ``mflops'': 228.34
Problem: oc362880, setup: 973.48 s, time: 128.36 ms, ``mflops'': 261.07
Problem: oc1562500, setup: 6.74 s, time: 1.06 s, ``mflops'': 151.3
c i 2-D powers of two
Problem: ic4x4, setup: 8.73 ms, time: 616.52 ns, ``mflops'': 519.05
Problem: ic8x4, setup: 7.45 ms, time: 1.13 us, ``mflops'': 709.92
Problem: ic4x8, setup: 10.10 ms, time: 1.24 us, ``mflops'': 646.82
Problem: ic8x8, setup: 9.80 ms, time: 2.25 us, ``mflops'': 854.72
Problem: ic16x16, setup: 19.17 ms, time: 10.16 us, ``mflops'': 1007.6
Problem: ic32x32, setup: 104.62 ms, time: 50.79 us, ``mflops'': 1008.2
Problem: ic64x64, setup: 264.19 ms, time: 276.56 us, ``mflops'': 888.62
Problem: ic16x512, setup: 462.04 ms, time: 633.25 us, ``mflops'': 840.87
Problem: ic128x64, setup: 301.12 ms, time: 578.91 us, ``mflops'': 919.8
Problem: ic128x128, setup: 493.29 ms, time: 1.50 ms, ``mflops'': 766.95
Problem: ic256x128, setup: 624.49 ms, time: 4.70 ms, ``mflops'': 522.92
Problem: ic512x64, setup: 945.88 ms, time: 4.86 ms, ``mflops'': 505.68
Problem: ic64x1024, setup: 2.13 s, time: 10.53 ms, ``mflops'': 497.95
Problem: ic256x256, setup: 1.53 s, time: 11.69 ms, ``mflops'': 448.57
Problem: ic512x512, setup: 3.74 s, time: 53.07 ms, ``mflops'': 444.55
Problem: ic1024x1024, setup: 12.64 s, time: 227.97 ms, ``mflops'': 459.96
Problem: ic2048x2048, setup: 25.94 s, time: 1.01 s, ``mflops'': 458.46
c o 2-D powers of two
Problem: oc4x4, setup: 7.90 ms, time: 637.02 ns, ``mflops'': 502.34
Problem: oc8x4, setup: 5.83 ms, time: 1.13 us, ``mflops'': 709.92
Problem: oc4x8, setup: 8.48 ms, time: 1.24 us, ``mflops'': 646.82
Problem: oc8x8, setup: 8.91 ms, time: 2.21 us, ``mflops'': 867.64
Problem: oc16x16, setup: 16.91 ms, time: 10.16 us, ``mflops'': 1007.7
Problem: oc32x32, setup: 90.15 ms, time: 50.78 us, ``mflops'': 1008.2
Problem: oc64x64, setup: 256.78 ms, time: 274.66 us, ``mflops'': 894.79
Problem: oc16x512, setup: 279.76 ms, time: 598.91 us, ``mflops'': 889.09
Problem: oc128x64, setup: 246.07 ms, time: 580.78 us, ``mflops'': 916.83
