c i 1-D powers of two
Problem: oc27000, setup: 1.11 s, time: 6.62 ms, ``mflops'': 300.08
Problem: oc75600, setup: 2.64 s, time: 25.94 ms, ``mflops'': 236.16
Problem: oc165375, setup: 456.18 ms, time: 66.13 ms, ``mflops'': 216.75
Problem: oc362880, setup: 5.67 s, time: 137.30 ms, ``mflops'': 244.07
Problem: oc1562500, setup: 116.36 ms, time: 1.07 s, ``mflops'': 150.54
c i 2-D powers of two
Problem: ic4x4, setup: 3.69 ms, time: 659.36 ns, ``mflops'': 485.32
Problem: ic8x4, setup: 3.02 ms, time: 1.13 us, ``mflops'': 708.77
Problem: ic4x8, setup: 4.06 ms, time: 1.24 us, ``mflops'': 646.82
Problem: ic8x8, setup: 3.51 ms, time: 2.23 us, ``mflops'': 860.43
Problem: ic16x16, setup: 4.76 ms, time: 10.19 us, ``mflops'': 1004.7
Problem: ic32x32, setup: 26.70 ms, time: 50.66 us, ``mflops'': 1010.6
Problem: ic64x64, setup: 38.33 ms, time: 274.19 us, ``mflops'': 896.32
Problem: ic16x512, setup: 76.23 ms, time: 808.69 us, ``mflops'': 658.45
Problem: ic128x64, setup: 55.05 ms, time: 578.88 us, ``mflops'': 919.85
Problem: ic128x128, setup: 69.58 ms, time: 1.41 ms, ``mflops'': 814.76
Problem: ic256x128, setup: 81.12 ms, time: 6.73 ms, ``mflops'': 365.23
Problem: ic512x64, setup: 98.51 ms, time: 6.62 ms, ``mflops'': 371.1
Problem: ic64x1024, setup: 123.48 ms, time: 16.33 ms, ``mflops'': 321.12
Problem: ic256x256, setup: 94.48 ms, time: 31.16 ms, ``mflops'': 168.26
Problem: ic512x512, setup: 139.41 ms, time: 150.21 ms, ``mflops'': 157.07
Problem: ic1024x1024, setup: 192.63 ms, time: 661.14 ms, ``mflops'': 158.6
Problem: ic2048x2048, setup: 253.48 ms, time: 2.84 s, ``mflops'': 162.56
c o 2-D powers of two
Problem: oc4x4, setup: 3.08 ms, time: 637.02 ns, ``mflops'': 502.34
