c i 1-D powers of two
Problem: oc27000, setup: 34.41 s, time: 6.00 ms, ``mflops'': 331.41
Problem: oc75600, setup: 158.53 s, time: 23.93 ms, ``mflops'': 256.04
Problem: oc165375, setup: 76.42 s, time: 67.44 ms, ``mflops'': 212.53
Problem: oc362880, setup: 1037.79 s, time: 140.84 ms, ``mflops'': 237.93
Problem: oc1562500, setup: 7.06 s, time: 1.12 s, ``mflops'': 143.73
c i 2-D powers of two
Problem: ic4x4, setup: 9.34 ms, time: 616.52 ns, ``mflops'': 519.05
Problem: ic8x4, setup: 7.48 ms, time: 1.11 us, ``mflops'': 723.04
Problem: ic4x8, setup: 10.13 ms, time: 1.22 us, ``mflops'': 655.69
Problem: ic8x8, setup: 9.98 ms, time: 2.21 us, ``mflops'': 870.57
Problem: ic16x16, setup: 19.13 ms, time: 11.74 us, ``mflops'': 872.07
Problem: ic32x32, setup: 108.59 ms, time: 62.95 us, ``mflops'': 813.4
Problem: ic64x64, setup: 281.35 ms, time: 321.41 us, ``mflops'': 764.64
Problem: ic16x512, setup: 482.01 ms, time: 728.62 us, ``mflops'': 730.8
Problem: ic128x64, setup: 318.28 ms, time: 711.44 us, ``mflops'': 748.46
Problem: ic128x128, setup: 522.97 ms, time: 2.01 ms, ``mflops'': 569.38
Problem: ic256x128, setup: 656.67 ms, time: 5.22 ms, ``mflops'': 470.94
Problem: ic512x64, setup: 991.67 ms, time: 5.00 ms, ``mflops'': 491.03
Problem: ic64x1024, setup: 2.27 s, time: 11.75 ms, ``mflops'': 446.24
Problem: ic256x256, setup: 1.62 s, time: 12.48 ms, ``mflops'': 420.04
Problem: ic512x512, setup: 3.93 s, time: 55.85 ms, ``mflops'': 422.44
Problem: ic1024x1024, setup: 12.99 s, time: 240.30 ms, ``mflops'': 436.35
Problem: ic2048x2048, setup: 26.04 s, time: 1.09 s, ``mflops'': 423.67
c o 2-D powers of two
Problem: oc4x4, setup: 7.90 ms, time: 631.47 ns, ``mflops'': 506.75
Problem: oc8x4, setup: 5.61 ms, time: 1.09 us, ``mflops'': 734.13
Problem: oc4x8, setup: 8.54 ms, time: 1.22 us, ``mflops'': 655.72
Problem: oc8x8, setup: 8.91 ms, time: 2.21 us, ``mflops'': 870.57
Problem: oc16x16, setup: 17.49 ms, time: 11.74 us, ``mflops'': 872.07
Problem: oc32x32, setup: 93.36 ms, time: 62.95 us, ``mflops'': 813.4
Problem: oc64x64, setup: 273.90 ms, time: 320.44 us, ``mflops'': 766.95
Problem: oc16x512, setup: 292.83 ms, time: 690.50 us, ``mflops'': 771.15
Problem: oc128x64, setup: 258.04 ms, time: 713.37 us, ``mflops'': 746.42
Problem: oc128x128, setup: 489.55 ms, time: 2.00 ms, ``mflops'': 573.73
Problem: oc256x128, setup: 551.87 ms, time: 5.74 ms, ``mflops'': 428.34
Problem: oc512x64, setup: 861.63 ms, time: 5.54 ms, ``mflops'': 443.69
Problem: oc64x1024, setup: 1.73 s, time: 12.66 ms, ``mflops'': 413.97
Problem: oc256x256, setup: 1.47 s, time: 13.43 ms, ``mflops'': 390.44
Problem: oc512x512, setup: 3.32 s, time: 58.05 ms, ``mflops'': 406.45
Problem: oc1024x1024, setup: 10.83 s, time: 250.59 ms, ``mflops'': 418.45
Problem: oc2048x2048, setup: 21.67 s, time: 1.13 s, ``mflops'': 406.57
c i 2-D non-powers of two
Problem: ic5x5, setup: 8.33 ms, time: 1.53 us, ``mflops'': 380.03
Problem: ic6x6, setup: 9.22 ms, time: 1.48 us, ``mflops'': 630.81
Problem: ic7x7, setup: 9.03 ms, time: 3.29 us, ``mflops'': 417.68
Problem: ic9x9, setup: 12.97 ms, time: 6.26 us, ``mflops'': 410.25
Problem: ic10x10, setup: 14.65 ms, time: 4.95 us, ``mflops'': 671.47
Problem: ic11x11, setup: 21.09 ms, time: 13.26 us, ``mflops'': 315.62
Problem: ic12x12, setup: 15.81 ms, time: 5.60 us, ``mflops'': 921.35
Problem: ic13x13, setup: 23.81 ms, time: 13.86 us, ``mflops'': 451.26
Problem: ic14x14, setup: 19.20 ms, time: 11.44 us, ``mflops'': 652.06
Problem: ic15x15, setup: 17.76 ms, time: 14.07 us, ``mflops'': 624.89
Problem: ic25x24, setup: 75.20 ms, time: 73.55 us, ``mflops'': 376.41
Problem: ic48x48, setup: 188.43 ms, time: 231.77 us, ``mflops'': 555.21
Problem: ic49x49, setup: 56.86 ms, time: 373.87 us, ``mflops'': 360.57
Problem: ic60x60, setup: 236.43 ms, time: 411.06 us, ``mflops'': 517.31
Problem: ic72x56, setup: 218.34 ms, time: 453.03 us, ``mflops'': 532.99
Problem: ic75x75, setup: 166.21 ms, time: 837.38 us, ``mflops'': 418.42
Problem: ic80x80, setup: 335.74 ms, time: 665.69 us, ``mflops'': 607.8
Problem: ic84x84, setup: 236.46 ms, time: 885.06 us, ``mflops'': 509.62
Problem: ic96x96, setup: 418.42 ms, time: 959.44 us, ``mflops'': 632.53
Problem: ic100x100, setup: 356.50 ms, time: 1.17 ms, ``mflops'': 566.37
Problem: ic105x105, setup: 214.55 ms, time: 1.67 ms, ``mflops'': 443.03
Problem: ic112x112, setup: 339.77 ms, time: 1.56 ms, ``mflops'': 547.25
Problem: ic120x120, setup: 596.72 ms, time: 1.77 ms, ``mflops'': 563.07
Problem: ic144x144, setup: 749.44 ms, time: 2.75 ms, ``mflops'': 541.28
Problem: ic180x180, setup: 1.11 s, time: 5.37 ms, ``mflops'': 451.9
Problem: ic240x240, setup: 1.73 s, time: 9.84 ms, ``mflops'': 462.72
Problem: ic360x360, setup: 2.98 s, time: 34.36 ms, ``mflops'': 320.26
Problem: ic1000x1000, setup: 12.71 s, time: 293.17 ms, ``mflops'': 339.93
Problem: ic1050x1050, setup: 13.98 s, time: 355.52 ms, ``mflops'': 311.23
Problem: ic1458x1458, setup: 19.64 s, time: 908.01 ms, ``mflops'': 246.05
Problem: ic1960x1960, setup: 22.39 s, time: 1.41 s, ``mflops'': 298.23
c o 2-D non-powers of two
Problem: oc5x5, setup: 7.42 ms, time: 1.43 us, ``mflops'': 405.78
Problem: oc6x6, setup: 9.00 ms, time: 1.48 us, ``mflops'': 630.81
Problem: oc7x7, setup: 8.09 ms, time: 3.26 us, ``mflops'': 421.49
Problem: oc9x9, setup: 11.35 ms, time: 6.23 us, ``mflops'': 412.21
Problem: oc10x10, setup: 12.60 ms, time: 4.81 us, ``mflops'': 690.17
Problem: oc11x11, setup: 18.22 ms, time: 13.08 us, ``mflops'': 319.93
Problem: oc12x12, setup: 13.46 ms, time: 5.51 us, ``mflops'': 936.28
Problem: oc13x13, setup: 19.84 ms, time: 13.86 us, ``mflops'': 451.26
Problem: oc14x14, setup: 16.82 ms, time: 11.35 us, ``mflops'': 657.22
Problem: oc15x15, setup: 15.72 ms, time: 13.68 us, ``mflops'': 642.6
Problem: oc25x24, setup: 52.25 ms, time: 73.32 us, ``mflops'': 377.63
Problem: oc48x48, setup: 188.88 ms, time: 225.55 us, ``mflops'': 570.51
Problem: oc49x49, setup: 48.16 ms, time: 367.19 us, ``mflops'': 367.14
Problem: oc60x60, setup: 256.57 ms, time: 391.97 us, ``mflops'': 542.51
Problem: oc72x56, setup: 192.82 ms, time: 440.62 us, ``mflops'': 548
Problem: oc75x75, setup: 147.44 ms, time: 824.06 us, ``mflops'': 425.18
Problem: oc80x80, setup: 332.81 ms, time: 669.50 us, ``mflops'': 604.34
Problem: oc84x84, setup: 241.44 ms, time: 866.00 us, ``mflops'': 520.83
Problem: oc96x96, setup: 426.26 ms, time: 951.81 us, ``mflops'': 637.59
Problem: oc100x100, setup: 353.41 ms, time: 1.19 ms, ``mflops'': 559.07
Problem: oc105x105, setup: 205.18 ms, time: 1.71 ms, ``mflops'': 434.1
Problem: oc112x112, setup: 325.21 ms, time: 1.64 ms, ``mflops'': 519.33
Problem: oc120x120, setup: 648.44 ms, time: 1.87 ms, ``mflops'': 533.15
Problem: oc144x144, setup: 765.79 ms, time: 3.05 ms, ``mflops'': 487.18
Problem: oc180x180, setup: 1.10 s, time: 6.35 ms, ``mflops'': 382.38
Problem: oc240x240, setup: 1.74 s, time: 11.23 ms, ``mflops'': 405.52
Problem: oc360x360, setup: 2.61 s, time: 36.47 ms, ``mflops'': 301.76
Problem: oc1000x1000, setup: 10.36 s, time: 317.03 ms, ``mflops'': 314.35
Problem: oc1050x1050, setup: 11.08 s, time: 372.52 ms, ``mflops'': 297.03
Problem: oc1458x1458, setup: 14.65 s, time: 960.62 ms, ``mflops'': 232.57
Problem: oc1960x1960, setup: 16.83 s, time: 1.49 s, ``mflops'': 282.07
c i 3-D powers of two
